Формат имени чертежа: <task_id>_<класс>.svg
Пример: f2_560_5.svg = задача f2_560 (класс 5).
Суффикс после последнего "_" — это КЛАСС, не часть id.

task_id	класс	файл_чертежа
f2_7463	7	(НЕТ ЧЕРТЕЖА)
f2_7464	7	f2_7464_7.svg
f2_7465	7	f2_7465_7.svg
f2_7466	7	f2_7466_7.svg
f2_7467	7	f2_7467_7.svg
f2_7468	7	f2_7468_7.svg
f2_7469	7	(НЕТ ЧЕРТЕЖА)
f2_7470	7	(НЕТ ЧЕРТЕЖА)
f2_7471	7	f2_7471_7.svg
f2_7472	7	(НЕТ ЧЕРТЕЖА)
f2_7473	7	(НЕТ ЧЕРТЕЖА)
f2_7474	7	(НЕТ ЧЕРТЕЖА)
f2_7475	7	f2_7475_7.svg
f2_7476	7	(НЕТ ЧЕРТЕЖА)
f2_7477	7	f2_7477_7.svg
f2_7478	7	f2_7478_7.svg
f2_7479	7	f2_7479_7.svg
f2_7480	7	f2_7480_7.svg
f2_7481	7	f2_7481_7.svg
f2_7482	7	f2_7482_7.svg
f2_7483	7	f2_7483_7.svg
f2_7484	7	f2_7484_7.svg
f2_7485	7	f2_7485_7.svg
f2_7486	7	f2_7486_7.svg
f2_7487	7	f2_7487_7.svg
f2_7488	7	f2_7488_7.svg
f2_7489	7	f2_7489_7.svg
f2_7525	7	f2_7525_7.svg
f2_7526	7	f2_7526_7.svg
f2_7527	7	f2_7527_7.svg
f2_7528	7	f2_7528_7.svg
f2_7529	7	f2_7529_7.svg
f2_7530	7	f2_7530_7.svg
f2_7531	7	f2_7531_7.svg
f2_7532	7	f2_7532_7.svg
f2_7533	7	f2_7533_7.svg
f2_7534	7	f2_7534_7.svg
f2_7535	7	f2_7535_7.svg
f2_7536	7	f2_7536_7.svg
f2_7537	7	f2_7537_7.svg
f2_7538	7	f2_7538_7.svg
f2_7539	7	f2_7539_7.svg
f2_7540	7	f2_7540_7.svg
f2_7541	7	f2_7541_7.svg
f2_7542	7	f2_7542_7.svg
f2_7543	7	(НЕТ ЧЕРТЕЖА)
f2_7544	7	f2_7544_7.svg
f2_7545	7	f2_7545_7.svg
f2_7546	7	f2_7546_7.svg
f2_7547	7	(НЕТ ЧЕРТЕЖА)
f2_7548	7	f2_7548_7.svg
f2_7549	7	f2_7549_7.svg
f2_7550	7	f2_7550_7.svg
f2_7551	7	f2_7551_7.svg
f2_7552	7	(НЕТ ЧЕРТЕЖА)
f2_7553	7	f2_7553_7.svg
f2_7554	7	(НЕТ ЧЕРТЕЖА)
f2_7555	7	f2_7555_7.svg
f2_7556	7	f2_7556_7.svg
f2_7557	7	f2_7557_7.svg
f2_7558	7	f2_7558_7.svg
f2_7559	7	f2_7559_7.svg
f2_7700	7	f2_7700_7.svg
f2_7702	7	f2_7702_7.svg
f2_7703	7	f2_7703_7.svg
f2_7709	7	f2_7709_7.svg
f2_7710	7	f2_7710_7.svg
f2_7711	7	f2_7711_7.svg
